#N Time vx wz 
1 700720 0.055 -0.119203
2 1296325 0.0557143 -0.0416512
3 1824334 0.055 -0.119203
4 2391089 0.0135714 -0.118181
5 2989627 0.01 -0.10568
6 3619377 -0 -0.0759932
7 4163486 -0.000714286 -0.0371178
8 4723463 -0.000714286 -0.046853
9 5259094 -0.000714286 -0.0438417
10 5793311 -0.000714286 0
11 6322346 -0 -0.0462751
12 6870877 0.00142857 -0.0357046
13 7408352 -0.00142857 0
14 7942278 -0.000714286 -0.0217369
15 8500853 0.00214286 -0.0123758
16 9075935 0.00142857 -0.0211844
17 9645919 -0.00214286 -0.0215496
18 10179634 -0.00142857 -0.0137357
19 10731676 0.0357143 -0.0462751
20 11254711 -0.000714286 -0.0394606
21 11817807 -0.00142857 -0.0138883
22 12394389 -0.00428571 -0.0215496
23 12952739 -0.00357143 -0.034395
24 13484879 -0.00285714 -0.0446239
25 14040515 -0 -0.0217369
26 14577047 -0.00142857 -0.0138883
27 15145867 -0.00357143 -0.0467072
28 15727796 -0.00142857 -0.0130204
29 16249401 -0.00214286 -0.0657288
30 16813723 -0.00285714 -0.0533863
31 17368902 0.000714286 -0.0866664
32 17933909 -0.000714286 -0.0126258
33 18481051 -0.00357143 -0.0363975
34 19031227 -0.00285714 -0.0367541
35 19586256 -0.00357143 0
36 20139202 -0.00285714 -0.0780235
37 20704920 -0.00357143 -0.0106835
38 21276369 -0.00357143 -0.0137357
39 21839372 0.00214286 -0.0176045
40 22390254 0 0
41 22928377 -0.00428571 -0.011261
42 23495526 -0.00285714 -0.0116819
43 24054115 -0.00214286 0
44 24608021 -0.00142857 -0.0215496
45 25193734 -0.00285714 -0.0430864
46 25759851 -0.00357143 -0.0423567
47 26327450 -0.00214286 -0.0485193
48 26859869 -0.00285714 -0.0134403
49 27425651 0.0121429 0
50 27999087 -0.00357143 -0.0115737
51 28551633 -0.00428571 0
52 29119738 0.000714286 -0.0211844
53 29701158 -0.00285714 -0.0328871
54 30284271 -0.00142857 -0.0386475
55 30854713 0.0178571 -0.0423567
56 31388872 -0.00142857 0
57 31919931 -0.00285714 -0.0231455
58 32471480 -0.00285714 -0.0211844
59 33059801 -0.00357143 -0.0132974
60 33663838 -0.00285714 0
61 34259875 -0.00357143 -0.0334741
62 34812051 -0.00214286 -0.0442293
63 35357728 -0.00285714 0
64 35905039 -0.00357143 -0.0238066
65 36468734 -0.00285714 -0.0143672
66 37010962 -0.00214286 -0.0148802
67 37560191 0.00285714 -0.0640465
68 38116566 0.0192857 -0.113325
69 38661551 0.05 -0.151429
70 39214360 0.0771429 -0.224817
71 39779001 0.130714 -0.20987
72 40323950 0.0828571 -0.0119044
73 40852132 0.0592857 0.119203
74 41360647 0.0542857 0.259948
75 41934490 0.0135714 0.308971
76 42482074 0.00928571 0.316345
77 43013857 -0.000714286 0.37615
78 43556363 0.00642857 0.379225
79 44142908 0.0157143 0.436814
80 44763643 0.0321429 0.506115
81 45387253 0.0457143 0.512659
82 45976531 0.0528571 0.30878
83 46615135 0.0278571 0.139604
84 47244594 0.0178571 -0.0233618
85 47918278 0.0142857 -0.100791
86 48455521 0.00428571 -0.14115
87 49162139 0.005 -0.138322
88 49595608 0.005 -0.146386
89 50281195 0.00357143 -0.171333
90 50981248 0.005 -0.119203
91 51549272 0.00428571 -0.0924238
92 52212102 0.00714286 -0.121299
93 52901578 0.00714286 -0.1743
94 53435923 0.00428571 -0.15824
95 54003877 0.00571429 -0.169886
96 54732111 0.00428571 -0.153978
97 55395743 0.00714286 -0.160746
98 56076590 0.005 -0.119824
99 56743676 0.00357143 -0.0984799
100 57270802 0.00357143 -0.122159
101 57799181 0.00714286 -0.0932844
102 58385165 0.00714286 -0.0764352
103 58914863 0.00642857 -0.12098
104 59591644 0.005 -0.125721
105 60269984 0.005 -0.11869
106 60727388 0.00428571 -0.0959649
107 61308456 0.005 -0.0950544
108 61954545 0.00357143 -0.0932844
109 62513026 0.00571429 -0.113325
110 63021022 0.005 -0.151429
111 63585582 0.00357143 -0.105878
112 63995750 0.00285714 -0.21191
113 64716190 0.00428571 -0.139504
114 65412159 0.00214286 -0.0875757
115 66103372 0.00214286 -0.117177
116 66787587 0.00214286 -0.0868167
117 67279187 0.22 -0.0227248
118 67953767 0.00214286 -0.0967889
119 68648947 -0.0178571 -0.147615
120 69170126 -0.0271429 -0.104893
121 69754207 -0.0292857 -0.108423
122 70454616 -0.025 -0.0681143
123 71083489 -0.0328571 -0.109369
124 71684485 -0.0285714 -0.0839074
125 72212619 -0.0207143 -0.0113633
126 72834429 -0.00785714 -0.0529344
127 73468225 -0.0264286 -0.0809053
128 74113885 -0.0214286 -0.0114676
129 74741062 -0.015 -0.0213654
130 75361679 -0.0235714 -0.010593
131 76023304 0.00785714 0
132 76652076 0.00928571 0.0111604
133 77279621 -0.0235714 -0.011261
134 77919811 -0.015 -0.0700201
135 78541065 -0.0221429 -0.0221216
136 79186027 -0.0214286 -0.0337756
137 79842734 0.0107143 0.0106835
138 80476533 -0.0157143 -0.0242688
139 81097434 0.005 0.0215496
140 81726847 0.00785714 0.0219276
141 82353070 -0.0178571 -0.0110617
142 82963143 -0.0192857 0
143 83588734 0.0114286 -0.0111604
144 84193276 -0.0135714 -0.0223191
145 84806197 -0.0128571 0
146 85423249 0.005 -0.0122545
147 86057267 -0.0178571 -0.0353679
148 86674069 0.000714286 0.122159
149 87283605 -0.025 0.108423
150 87911504 -0.0292857 0.151429
151 88541317 -0.0128571 0.119203
152 89161170 0.00928571 0.116484
153 89764735 0.065 0.21834
154 90419677 0.0814286 0.107493
155 90985842 0.0121429 0.0240355
156 91624162 -0.0207143 0
157 92275888 -0.025 0
158 92899513 -0.025 0
159 93414244 -0.0242857 -0.0124996
160 94112796 -0.0257143 -0.0121355
161 94834473 -0.0314286 0
162 95611159 -0.0357143 0
163 96373590 -0.0328571 -0.0340825
164 96946535 -0.0357143 -0.0227248
165 97674125 -0.035 -0.0875757
166 98426389 0.00285714 -0.110332
167 99100388 -0.0335714 -0.454514
168 99831385 0.0357143 -0.625835
169 100545947 0.0607143 -0.631976
170 101246432 0.0464286 -0.617427
171 101911242 0.00785714 -0.541977
172 102528160 -0.0164286 -0.344757
173 103085679 -0.0321429 -0.382349
174 103568861 -0.0307143 -0.233724
175 104060138 -0.0357143 -0.170503
176 104551426 -0.0335714 -0.169886
177 105030561 -0.0357143 -0.148865
178 105534209 -0.0342857 -0.119203
179 106054243 -0.0342857 -0.042001
180 106590034 -0.02 -0.053846
181 107146890 -0.0335714 -0.0434607
