N Time vx wz 
1 80000 0 0
2 80000 0 0
3 80000 0 0
4 80000 0 0
5 90000 0 0
6 90000 0 0
7 90000 0 0
8 90000 0 0
9 90000 0 0
10 90000 0 0
11 90000 0 0
12 90000 0 0
13 90000 0 0
14 90000 0 0
15 90000 0 0
16 90000 0 0
17 90000 0 0
18 90000 0 0
19 90000 0 0
20 90000 0 0
21 90000 0 0
22 90000 0 0
23 90000 0 0
24 90000 0 0
25 90000 0 0.1
26 90000 0 0.2
27 90000 0 0.3
28 90000 0 0.4
29 90000 0 0.5
30 90000 0 0.6
31 90000 0 0.7
32 90000 0 0.8
33 90000 0 0.9
34 90000 0 1
35 90000 0 1
36 90000 0 1
37 90000 0 1
38 90000 0 1
39 90000 0 1
40 90000 0 1
41 90000 0 1
42 90000 0 1
43 90000 0 1
44 90000 0 1
45 90000 0 1
46 90000 0 1
47 100000 0 1
48 100000 0 1
49 100000 0 1
50 100000 0 1
51 100000 0 1
52 100000 0 1
53 100000 0 1
54 100000 0 1
55 100000 0 1
56 100000 0 1
57 100000 0 1
58 100000 0 1
59 100000 0 1
60 100000 0 1
61 100000 0 1
62 100000 0 1
63 100000 0 1
64 100000 0 1
65 100000 0 1
66 100000 0 1
67 100000 0 1
68 100000 0 1
69 100000 0 1
70 100000 0 1
71 100000 0 1
72 100000 0 1
73 100000 0 1
74 100000 0 1
75 100000 0 1
76 100000 0 1
77 100000 0 1
78 100000 0 1
79 100000 0 1
80 100000 0 1
81 100000 0 1
82 110000 0 1
83 110000 0 1
84 110000 0 1
85 110000 0 1
86 110000 0 1
87 110000 0 1
88 110000 0 1
89 110000 0 1
90 110000 0 1
91 110000 0 1
92 110000 0 1
93 120000 0.02 0.9
94 120000 0.04 0.8
95 120000 0.06 0.7
96 120000 0.08 0.6
97 120000 0.1 0.5
98 120000 0.12 0.4
99 120000 0.14 0.3
100 120000 0.16 0.2
101 120000 0.18 0.1
102 120000 0.2 1.38778e-16
103 120000 0.2 0
104 120000 0.2 0
105 120000 0.2 0
106 120000 0.2 0
107 120000 0.2 0
108 120000 0.2 0
109 120000 0.2 0
110 120000 0.2 0
111 120000 0.2 0
112 120000 0.2 0
113 120000 0.2 0
114 120000 0.2 0
115 120000 0.2 0
116 120000 0.2 0
117 120000 0.2 0
118 130000 0.2 0
119 130000 0.2 0
120 130000 0.2 0
121 130000 0.2 0
122 130000 0.2 0
123 130000 0.2 0
124 130000 0.2 0
125 130000 0.2 0
126 130000 0.2 0
127 130000 0.2 0
128 130000 0.2 0
129 130000 0.2 0
130 130000 0.2 0
131 130000 0.2 0
132 130000 0.2 0
133 130000 0.2 0
134 130000 0.2 0
135 130000 0.2 0
136 130000 0.2 0
137 130000 0.2 0
138 130000 0.2 0
139 130000 0.2 0
140 130000 0.2 0
141 130000 0.2 0
142 130000 0.2 0
143 130000 0.2 0
144 130000 0.2 0
145 130000 0.2 0
146 130000 0.2 0
147 130000 0.2 0
148 130000 0.2 0
149 130000 0.2 0
150 130000 0.2 0
151 140000 0.2 0
152 140000 0.2 0
153 140000 0.2 0
154 140000 0.2 0
155 140000 0.2 0
156 140000 0.2 0
157 140000 0.2 0
158 140000 0.2 0
159 140000 0.2 0
160 140000 0.2 0
161 140000 0.2 0
162 140000 0.2 0
163 140000 0.2 0
164 140000 0.2 0
165 140000 0.2 0
166 140000 0.2 0
167 140000 0.2 0
168 140000 0.2 0
169 140000 0.2 0
170 140000 0.2 0
171 140000 0.2 0
172 140000 0.2 0
173 140000 0.2 0
174 140000 0.2 0
175 140000 0.2 0
176 140000 0.2 0
177 140000 0.2 0
178 140000 0.2 0
179 140000 0.2 0
180 140000 0.2 0
181 140000 0.2 0
182 140000 0.2 0
183 140000 0.2 0
184 140000 0.2 0
185 140000 0.2 0
186 140000 0.2 0
187 140000 0.2 0
188 140000 0.2 0
189 140000 0.2 0
190 140000 0.2 0
191 140000 0.2 0
192 140000 0.2 0
193 140000 0.2 0
194 140000 0.2 0
195 140000 0.2 0
196 140000 0.2 0
197 140000 0.2 0
198 140000 0.2 0
199 140000 0.2 0
200 140000 0.2 0
201 140000 0.2 0
202 140000 0.2 0
203 140000 0.2 0
204 140000 0.2 0
205 140000 0.2 0
206 140000 0.2 0
207 150000 0.2 0
208 150000 0.2 0
209 150000 0.2 0
210 150000 0.2 0
211 150000 0.2 0
212 150000 0.2 0
213 150000 0.2 0
214 150000 0.2 0
215 150000 0.2 0
216 150000 0.2 0
217 150000 0.2 0
218 150000 0.2 0
219 150000 0.2 0
220 150000 0.2 0
221 150000 0.2 0
222 150000 0.2 0
223 150000 0.2 0
224 150000 0.2 0
225 150000 0.2 0
226 150000 0.2 0
227 150000 0.2 0
228 150000 0.2 0
229 150000 0.2 0
230 150000 0.2 0
231 150000 0.2 0
232 150000 0.2 0
233 150000 0.2 0
234 150000 0.2 0
235 150000 0.2 0
236 150000 0.2 0
237 150000 0.2 0
238 150000 0.2 0
239 150000 0.2 0
240 150000 0.2 0
241 160000 0.2 0
242 160000 0.2 0
243 160000 0.2 0
244 160000 0.2 0
245 160000 0.2 0
246 160000 0.2 0
247 160000 0 0
248 160000 0 0
249 160000 0 0
250 160000 0 0
251 160000 0 0
252 160000 0 0
253 160000 0 0
254 170000 0 0
255 170000 0 0
256 170000 0 0
257 170000 0 0
258 170000 0 0
259 170000 0 0
260 170000 0 0
