N Time vx wz 
1 681926 -0.015 -0.0108693
2 1226331 -0.0278571 -0.0221216
3 1717628 -0.02 -0.0229332
4 2260886 -0.02 0.0108693
5 2788310 -0.02 0
6 3303068 -0.0214286 0
7 3855181 0.218571 0
8 4414806 -0.0342857 0
9 4966348 -0.03 0
10 5530348 -0.0242857 0.0122545
11 6065345 0.0142857 -0.0111604
12 6590852 -0.0228571 0
13 7140157 -0.0135714 0
14 7627788 -0.0114286 0.0106835
15 8122814 -0.0235714 0
16 8641426 -0.025 0
17 9160591 -0.0121429 0
18 9683300 -0.0207143 -0.0229332
19 10184855 -0.03 0.011261
20 10697930 -0.0342857 0.0107756
21 11194305 -0.03 0
22 11736362 -0.015 0
23 12250814 -0.0264286 -0.0227248
24 12769005 -0.0128571 0.0113633
25 13300215 -0.02 -0.0247492
26 13836844 -0.0221429 0
27 14360396 -0.0271429 -0.0215496
28 14878647 -0.0257143 0
29 15418943 -0.03 0.0108693
30 15943860 -0.0321429 0
31 16482884 -0.0314286 0
32 17009419 -0.025 0
33 17554971 -0.0121429 0.0120189
34 18103137 -0.0228571 -0.0328871
35 18661533 -0.0342857 -0.0213654
36 19207537 -0.03 0
37 19730092 -0.0114286 -0.0213654
38 20250050 -0.0228571 -0.0116819
39 20790607 -0.0135714 -0.0240355
40 21332224 -0.02 -0.0213654
41 21922372 -0.00714286 0
42 22495099 -0.0171429 0.0211844
43 23041397 -0.0221429 0
44 23611443 -0.00857143 0.0128861
45 24189839 -0.0221429 0
46 24737335 -0.0221429 0
47 25298495 -0.0278571 0
48 25868381 -0.0207143 -0.0213654
49 26425589 -0.00785714 0
50 26997247 -0.0264286 0
51 27545134 -0.0278571 0
52 28083965 -0.0221429 0.0211844
53 28650845 0.00714286 0.011261
54 29229964 -0.0192857 -0.0122545
55 29787813 -0.0214286 0
56 30357187 -0.0257143 0
57 30903978 -0.0264286 -0.0211844
58 31434449 -0.0157143 0.0120189
59 32007761 -0.0257143 0
60 32581720 -0.0207143 -0.0111604
61 33125980 -0.02 -0.0423567
62 33710266 -0.0135714 0.011261
63 34284562 -0.0192857 0.0108693
64 34832204 0.0135714 -0.0471474
65 35404165 -0.0121429 -0.0114676
66 35980609 -0.00928571 -0.0107756
67 36541882 -0.0171429 -0.0423567
68 37089691 -0.0178571 -0.0107756
69 37646050 -0.0128571 0
70 38195642 -0.0135714 -0.0446239
71 38773346 0.015 -0.0317728
72 39339954 -0.0107143 -0.0438417
73 39911889 -0.0178571 -0.0217369
74 40484753 -0.00785714 0
75 41078079 -0.0157143 -0.0320443
76 41662301 -0.0135714 0
77 42229212 0.0121429 -0.0217369
78 42815470 -0.000714286 -0.0374888
79 43384420 -0.0135714 0
80 43967894 0.00785714 -0.0340825
81 44548679 -0.015 -0.0110617
82 45128732 0.0214286 -0.0123758
83 45701404 0.218571 0
84 46195902 -0.0135714 -0.0109646
85 46787956 0.00428571 0
86 47365734 -0.0328571 -0.0211844
87 47934952 -0.0257143 0
88 48508828 -0.02 -0.0114676
89 49074725 -0.0221429 0
90 49698674 -0.0207143 0
91 50270842 -0.0278571 -0.0215496
92 50821059 -0.025 -0.0454345
93 51383532 -0.0285714 0
94 51940915 -0.0314286 -0.0213654
95 52506402 -0.025 -0.0113633
96 53094863 -0.0171429 0
97 53650957 -0.0214286 -0.0213654
98 54251824 -0.0192857 0
99 54848475 -0.0157143 0
100 55428435 -0.0114286 -0.010593
101 56006048 -0.0114286 -0.0210064
102 56573425 -0.00428571 0
103 57151284 -0.00714286 -0.0116819
104 57730355 -0.00642857 -0.0106835
105 58301787 -0.00642857 -0.0106835
106 58876059 0.22 0
107 59460384 -0.00428571 -0.0106835
108 60028449 -0.0185714 0.0119044
109 60587171 -0.0257143 0
110 61158573 -0.0285714 -0.0116819
111 61704565 -0.0321429 0
112 62271136 -0.0314286 0
113 62835823 -0.0314286 0
114 63390708 -0.0257143 0.011261
115 63958359 -0.0292857 0
116 64523868 -0.0142857 0.011261
117 65075046 -0.02 0
118 65628873 -0.0107143 -0.0119044
119 66191509 -0.0157143 0
120 66768025 -0.0135714 0
121 67355817 -0.0114286 -0.0227248
122 67930344 -0.0142857 0
123 68498170 -0.00428571 -0.0229332
124 69076469 -0.00928571 0
125 69652183 -0.00571429 0
126 70232243 -0.00642857 0
127 70803125 -0.00642857 0
128 71417257 -0.00428571 0
129 72049686 -0.00571429 0.0108693
130 72627975 -0.00428571 0
131 73214415 -0.005 0
132 73795564 0.00714286 0
133 74350435 0.000714286 -0.0221216
134 74924228 -0 0
135 75512613 -0.00357143 0
136 75956959 -0.00571429 -0.010504
137 76572631 0.00714286 0
138 77172747 -0.005 -0.011261
139 77739675 -0.00357143 -0.010593
140 78323772 -0.00285714 0.0115737
141 78916862 -0.00214286 0.0106835
142 79504904 -0.00142857 0.0120189
143 80079596 -0.005 0
144 80648221 -0.00571429 -0.0106835
145 81149787 -0.00285714 0
146 81726092 -0.00642857 -0.011261
147 82300374 -0.00285714 0
148 82904173 -0.00285714 0
