N Time vx wz 
1 716417 -0.0142857 0.0583688
2 1318022 -0.0171429 0.0242688
3 1944831 -0.015 0.0326013
4 2526592 -0.0164286 0
5 3106958 -0.0135714 0.0235821
6 3656880 -0.00928571 0
7 4132627 -0.00642857 0
8 4715692 -0.0157143 0.0562683
9 5318113 -0.0121429 0.0578291
10 5938528 0.0128571 0
11 6514519 -0.0157143 0.0120189
12 7099660 0.222857 0
13 7692730 -0.0135714 0.011261
14 8269361 -0.0242857 0.0238066
15 8833574 0.22 0
16 9426711 -0.0292857 0.0868167
17 9971379 -0.00857143 0.0271696
18 10507247 -0.0257143 0.0891343
19 11102762 -0.00357143 0
20 11668054 0.00857143 0.0223191
21 12224077 0.00428571 0
22 12756700 -0.0235714 0.0485193
23 13267402 -0.0214286 0.0552737
24 13796682 -0.0128571 0
25 14256554 -0.0285714 0
26 14761715 -0.0264286 0.0213654
27 15316251 -0.0285714 0.0675019
28 15864899 -0.0271429 0.0120189
29 16408055 -0.0242857 0.0115737
30 16945759 -0.00928571 0.0390498
31 17481108 -0.0221429 0.0334741
32 18001248 -0.0178571 0.047596
33 18545138 -0.00428571 0.0219276
34 19081898 -0.03 0.0116819
35 19641298 -0.0264286 0.0114676
36 20178625 -0.0292857 0
37 20709096 -0.0278571 0
38 21288357 -0.0121429 0
39 21828777 0.00214286 0
40 22357184 -0.0221429 0.0116819
41 22888347 -0.03 0
42 23447868 -0.0221429 -0.0110617
43 23933194 -0.0292857 0
44 24502172 -0.0242857 0
45 25084525 -0.0228571 -0.0114676
46 25633208 -0.0207143 -0.0213654
47 26098024 -0.00857143 -0.0297563
48 26585133 0.00571429 0
49 27121701 -0.0314286 -0.0106835
50 27666452 -0.0242857 0
51 28236738 -0.0292857 -0.0231455
52 28802849 -0.0207143 -0.0111604
53 29375969 -0.0142857 -0.0116819
54 29930057 -0.0214286 -0.011261
55 30487061 -0.0257143 -0.0106835
56 31049463 -0.0307143 -0.0231455
57 31560589 -0.0228571 -0.0107756
58 32110102 -0.0178571 0
59 32655372 -0.0185714 -0.0111604
60 33219461 -0.01 0.0240355
61 33796950 -0.000714286 -0.0669003
62 34354640 0.0471429 -0.144443
63 34877076 0.06 -0.129964
64 35436911 0.0671429 -0.183454
65 35997111 0.065 -0.0438417
66 36547228 0.0528571 0.0853373
67 37099469 0.0571429 0.195752
68 37590153 0.0592857 0.274518
69 38156864 0.0592857 0.34931
70 38707998 0.065 0.398924
71 39176321 0.0692857 0.42878
72 39690386 0.0707143 0.402188
73 40203261 0.08 0.369301
74 40735232 0.0635714 0.308872
75 41290363 0.0542857 0.0529344
76 41854813 0.0535714 -0.107493
77 42451403 0.0171429 -0.0675019
78 43039608 0.0142857 -0.171333
79 43616669 0.00785714 -0.112309
80 44225966 0.000714286 -0.139504
81 44830350 -0.00142857 -0.108423
82 45410455 -0.00214286 -0.106579
83 46003376 -0.00142857 -0.0334741
84 46576246 -0.00428571 -0.0846163
85 47153104 -0.00428571 -0.0868167
86 47751216 0.00142857 -0.0543136
87 48319216 -0.00571429 0
88 48898949 -0.005 -0.0529344
89 49487966 -0.00571429 -0.0635046
90 50064578 -0.00571429 -0.0557665
91 50641024 -0.00571429 -0.0645976
92 51192786 -0.000714286 -0.047596
93 51767183 -0.00642857 -0.0640465
94 52337310 -0.00357143 -0.0657288
95 52928069 -0.00642857 -0.0442293
96 53496272 -0.00357143 -0.0231455
97 54070141 0.00142857 -0.0773348
98 54644201 -0.005 -0.0759932
99 55224823 -0.00285714 -0.0323204
100 55770279 -0.00571429 -0.0746973
101 56341561 -0.00214286 -0.0211844
102 56919883 -0.00357143 -0.0891343
103 57485304 0.00642857 -0.0126258
104 58028773 0.00214286 -0.0115737
105 58604514 -0 0
106 59157909 -0.00357143 0
107 59698733 -0.00357143 -0.0547894
108 60247957 -0.00142857 -0.0438417
109 60806818 -0.00285714 -0.0337756
110 61388669 -0.000714286 -0.0111604
111 61951219 -0.00214286 -0.0111604
112 62519321 -0.00214286 -0.0221216
113 63063250 -0.00285714 -0.0562683
114 63625866 0.00642857 0
115 64152665 -0.00214286 -0.011261
116 64693623 -0.000714286 -0.0700201
117 65247160 0.025 -0.0353679
118 65792176 -0.00357143 -0.0110617
119 66342430 -0.00214286 -0.011261
120 66891173 -0.00214286 -0.0315059
121 67426126 -0.00357143 -0.0217369
122 67980288 -0.00428571 -0.0114676
123 68507352 -0.00428571 -0.0557665
124 69065237 -0.00428571 -0.0320443
125 69639549 -0.0171429 0.0328871
126 70214019 -0.0307143 0.0635046
127 70776374 -0.0178571 0.138322
128 71342324 -0.01 0.168464
129 71920066 0.0464286 0.244671
130 72490173 0.0564286 0.201235
131 73063424 0.0528571 0.107493
132 73650013 0.05 -0.0106835
133 74264801 0.0557143 -0.0640465
134 74863788 0.0514286 -0.0967889
135 75420637 -0.00571429 -0.16642
136 76012445 -0.0171429 -0.170945
137 76602895 -0.0171429 -0.257652
138 77218782 -0.0278571 -0.336841
139 77860468 -0.0107143 -0.3891
140 78452322 -0.0107143 -0.385955
141 79050753 0.00714286 -0.432343
142 79680722 0.0142857 -0.471913
143 80280223 0.0342857 -0.521772
144 80861158 0.0578571 -0.552488
145 81410606 0.0685714 -0.499178
146 81982181 0.0335714 -0.221341
147 82590011 0.0714286 0.0128861
148 83185344 0.0678571 0.0891343
149 83795969 0.0178571 0.239735
150 84409493 0.005 0.221995
151 85014471 0.00142857 0.192431
152 85612998 0.000714286 0.182185
153 86190143 0.222143 0.151128
154 86749860 -0.00357143 0.189965
155 87331129 0.221429 0.15824
156 87907915 -0.0307143 0.117177
157 88488051 -0.0314286 0.106579
158 89061045 0.0271429 0.0740657
159 89575292 -0.0278571 0.0663094
160 90116777 -0.0257143 0.0875757
161 90688197 -0.0171429 0.0337756
162 91233391 0.00285714 0.0255067
163 91763746 0.171429 0.0363975
164 92276897 -0.0257143 0.0669003
165 92794488 -0.0271429 0.0663094
166 93320597 -0.0178571 0.0111604
167 93852080 -0.0235714 -0.239377
168 94377240 -0.0192857 0.0235821
169 94924261 -0.0292857 0.045851
170 95478054 0.234286 0.0549097
171 96019830 0.005 0.0675019
172 96555605 -0.00285714 0.0450256
173 97115972 -0.000714286 -0.643064
174 97623788 0.0171429 0.0787246
175 98139119 -0.02 0.114359
176 98663034 -0.0164286 0.0984799
177 99222868 -0.0178571 -0.278789
178 99740037 -0.025 0.0984799
179 100252081 0.00214286 0.0681143
