N Angle(rd) Wz(rd/s)
1 0.0282943 0.0360254
2 0 0
3 0.0353835 0.0450515
4 0 0
5 0 0
6 0.00909066 0.0115746
7 0.00909066 0.0115746
8 0.0347686 0.0442686
9 0 0
10 0.0288382 0.0367178
11 0.0258563 0.0329212
12 0 0
13 0.0085468 0.0108821
14 0.0350733 0.0446566
15 0 0
16 0.0540015 0.0687567
17 0.0350733 0.0446566
18 0 0
19 0 0
20 0 0
21 5.42997e-05 6.91364e-05
22 0.00892833 0.0113679
23 0.0087717 0.0111685
24 0.0254183 0.0323634
25 0.026081 0.0332073
26 0.00869543 0.0110713
27 -0.00980361 -0.0124823
28 0.00917405 0.0116807
29 0 0
30 0.0168051 0.0213969
31 0.0170924 0.0217626
32 0.0265424 0.0337948
33 0.0175421 0.0223352
34 0.0169475 0.0215782
35 -0.00934552 -0.0118991
36 0 0
37 0.0168051 0.0213969
38 0.0085468 0.0108821
39 0.0624188 0.0794739
40 0.0169475 0.0215782
41 0 0
42 0.026081 0.0332073
43 -0.00869543 -0.0110713
44 0.0176973 0.0225328
45 0.00900877 0.0114703
46 0 0
47 0.0252047 0.0320916
48 0.00847437 0.0107899
49 0.0169475 0.0215782
50 0 0
51 -0.129703 -0.165142
52 -0.629318 -0.80127
53 -0.872479 -1.11087
54 -0.846546 -1.07785
55 -0.733313 -0.93368
56 -0.49446 -0.629564
57 0.0682698 0.0869236
58 0.467245 0.594913
59 0.678463 0.863844
60 0.886745 1.12904
61 0.801526 1.02053
62 0.590812 0.752243
63 0.247176 0.314714
64 0 0
65 -0.244979 -0.311916
66 -0.553109 -0.704239
67 -0.61534 -0.783473
68 -0.588003 -0.748666
69 -0.488553 -0.622044
70 -0.293038 -0.373106
71 0.0706785 0.0899905
72 0.226152 0.287946
73 0.404892 0.515523
74 0.54428 0.692998
75 0.537717 0.684641
76 0.491809 0.626189
77 0.383528 0.488321
78 0.182168 0.231943
79 -0.0859943 -0.109491
80 -0.184324 -0.234689
81 -0.380506 -0.484475
82 -0.40386 -0.514209
83 -0.380506 -0.484475
84 -0.318835 -0.405953
85 -0.200797 -0.255662
86 -0.0270205 -0.0344034
87 0.148032 0.18848
88 0.169304 0.215564
89 0.181468 0.231051
90 0.224235 0.285504
91 0.200954 0.255862
92 0.192285 0.244824
93 0.172191 0.21924
94 0.214472 0.273073
95 0.0945449 0.120378
96 0 0
97 0.0186894 0.023796
98 -0.0525831 -0.0669507
99 -0.0360205 -0.0458626
100 -0.0540015 -0.0687567
101 0 0
102 -0.0178552 -0.022734
103 -0.0508037 -0.0646851
104 -0.0170924 -0.0217626
105 -0.0602717 -0.0767402
106 -0.0438316 -0.0558079
107 -0.0336008 -0.0427818
108 -0.0512372 -0.065237
109 -0.0190453 -0.0242492
110 -0.0267793 -0.0340964
111 -0.0186894 -0.023796
112 -0.0613265 -0.0780832
113 -0.0263097 -0.0334985
114 -0.0587558 -0.0748101
115 -0.0267793 -0.0340964
