#N Time Angle(rd) Wz(rd/s)
1 718022 -0.067693 -0.0861892
2 1358906 -0.0852629 -0.10856
3 1965446 -0.0607946 -0.0774059
4 2581961 -0.0781017 -0.0994419
5 3150768 -0.0682698 -0.0869236
6 3778778 -0.0597578 -0.0760858
7 4381899 -0.0801848 -0.102094
8 5002018 -0.0688565 -0.0876706
9 5592055 -0.0607946 -0.0774059
10 6190088 -0.0694533 -0.0884305
11 6781993 -0.0618678 -0.0787724
12 7386586 -0.0816363 -0.103942
13 7998048 -0.0602717 -0.0767402
14 8623236 -0.0809041 -0.10301
15 9240913 -0.0688565 -0.0876706
16 9843711 -0.0859943 -0.109491
17 10453799 -0.067693 -0.0861892
18 11070032 -0.0618678 -0.0787724
19 11677222 -0.102207 -0.130133
20 12346272 -0.0774311 -0.0985881
21 13025466 -0.0694533 -0.0884305
22 13644541 -0.0629797 -0.080188
23 14267841 -0.0713075 -0.0907913
24 14884595 -0.0508037 -0.0646851
25 15528191 -0.0607946 -0.0774059
26 16126321 -0.0336008 -0.0427818
27 16760532 -0.0508037 -0.0646851
28 17411358 -0.0341747 -0.0435125
29 18027073 -0.0512372 -0.065237
30 18610181 -0.0180161 -0.0229387
31 19238986 -0.0258563 -0.0329212
32 19854250 -0.0700606 -0.0892037
33 20454194 -0.0446132 -0.0568032
34 21073162 -0.0592526 -0.0754426
35 21695392 -0.0613265 -0.0780832
36 22280566 -0.0521266 -0.0663696
37 22897015 -0.0341747 -0.0435125
38 23512143 -0.0347686 -0.0442686
39 24060993 -0.0338853 -0.043144
40 24637306 -0.0341747 -0.0435125
41 25275487 -0.0336008 -0.0427818
42 25892900 0.595986 0.758832
43 26511301 0.610726 0.777599
44 27124153 0.610132 0.776842
45 27725155 0.539162 0.68648
46 28294064 0.20928 0.266462
47 28833554 0.019415 0.0247199
48 29408925 -0.291457 -0.371093
49 29977373 -0.442374 -0.563247
50 30587305 -0.488118 -0.62149
51 31187797 -0.503919 -0.641608
52 31788839 -0.425339 -0.541557
53 32381464 -0.185348 -0.235992
54 32960832 -0.130827 -0.166574
55 33534404 0.177596 0.226122
56 34117339 0.288344 0.36713
57 34693864 0.400535 0.509975
58 35304670 0.368349 0.468995
59 35885468 0.348771 0.444068
60 36475759 0.228103 0.290429
61 37021829 0.182168 0.231943
62 37566600 0.00952352 0.0121257
63 38152695 -0.140658 -0.179091
64 38715174 -0.155262 -0.197685
65 39266721 -0.153945 -0.196008
66 39827066 -0.134771 -0.171596
67 40409853 -0.148032 -0.18848
68 40985677 -0.120109 -0.152927
69 41541181 -0.108661 -0.138351
70 42115997 -0.126592 -0.161182
71 42693917 -0.101347 -0.129038
72 43333235 -0.122195 -0.155583
73 43967440 -0.0961934 -0.122477
74 44594228 -0.0890496 -0.113381
75 45168280 -0.390137 -0.496737
76 45739147 -0.463648 -0.590333
77 46319020 -0.555977 -0.70789
