N Time Angle(rd) Wz(rd/s)
1 670826 0.0945449 0.120378
2 1247898 0.0845438 0.107644
3 1820461 0.0713075 0.0907913
4 2423765 0.0781017 0.0994419
5 2986962 0.0937415 0.119355
6 3545933 0.102207 0.130133
7 4114077 0.0794782 0.101195
8 4662367 0.0576284 0.0733746
9 5223464 0.0852629 0.10856
10 5775869 0.0852629 0.10856
11 6311066 0.0694533 0.0884305
12 6864569 0.0694533 0.0884305
13 7427917 0.0794782 0.101195
14 7977460 0.10769 0.137115
15 8534399 0.102444 0.130435
16 9099463 0.0898475 0.114397
17 9651057 0.0845438 0.107644
18 10207420 0.0929517 0.11835
19 10781500 0.0671259 0.0854671
20 11326540 0.0288382 0.0367178
21 11890187 0.0508037 0.0646851
22 12464498 0.0961934 0.122477
23 13042759 0.0597578 0.0760858
24 13589865 0.0794782 0.101195
25 14173689 0.0694533 0.0884305
26 14744753 0.0700606 0.0892037
27 15333370 0.0890496 0.113381
28 15886345 0.067693 0.0861892
29 16459378 0.0607946 0.0774059
30 17004893 0.0809041 0.10301
31 17551127 0.0794782 0.101195
32 18102425 0.0602717 0.0767402
33 18673633 0.0867383 0.110438
34 19261045 0.0613265 0.0780832
35 19811324 0.0380768 0.0484808
36 20385251 0.067693 0.0861892
37 20938038 0.0706785 0.0899905
38 21485644 0.0694533 0.0884305
39 22026739 0.0602717 0.0767402
40 22575775 0.0809041 0.10301
41 23148226 0.0521266 0.0663696
42 23713995 0.0521266 0.0663696
43 24282928 0.067693 0.0861892
44 24838760 0.0516781 0.0657984
45 25416580 0.0530475 0.0675421
46 25960519 0.0516781 0.0657984
47 26507069 0.067693 0.0861892
48 27054543 0.0508037 0.0646851
49 27623974 0.0845438 0.107644
50 28211579 0.0446132 0.0568032
51 28806872 0.0688565 0.0876706
52 29402032 0.0831412 0.105858
53 29989338 0.0508037 0.0646851
54 30579777 0.0197994 0.0252093
55 31130875 0.0530475 0.0675421
56 31755828 0.0767719 0.0977488
57 32375952 0.0647243 0.0824093
58 33009961 -0.0176973 -0.0225328
59 33582565 -0.47052 -0.599084
60 34129248 -0.484478 -0.616855
61 34711002 -0.474028 -0.60355
62 35273279 -0.456605 -0.581367
63 35855422 -0.428574 -0.545676
64 36438676 -0.302885 -0.385644
65 36984903 -0.298499 -0.38006
66 37513521 -0.176122 -0.224245
67 38011123 -0.153332 -0.195228
68 38579836 -0.0618678 -0.0787724
69 39115924 0.0087717 0.0111685
70 39622549 0.0370201 0.0471354
71 40138534 0.0178552 0.022734
72 40616808 0.0282943 0.0360254
73 41125989 0 0
74 41557433 0.0688565 0.0876706
75 42060099 0.0434509 0.0553233
76 42539888 0.0188657 0.0240205
77 43037107 0.0570808 0.0726773
78 43539844 0.0688565 0.0876706
79 44062947 0.0607946 0.0774059
80 44543435 0 0
81 45044320 0.0540015 0.0687567
82 45591430 0.0442189 0.0563012
83 46144978 0.0700606 0.0892037
84 46711010 0.0890496 0.113381
85 47226571 -0.0294033 -0.0374373
86 47725259 0.0430768 0.0548469
87 48333204 0.212938 0.271121
88 48884434 0.706355 0.899357
89 49429073 0.855459 1.0892
90 49989175 1.0999 1.40044
91 50548667 0.370171 0.471315
92 51137001 0.643501 0.819329
93 51619726 0.460223 0.585973
94 52221401 0.100501 0.127961
95 52861121 -0.0937415 -0.119355
96 53499723 -0.146763 -0.186864
97 54162625 -0.295441 -0.376166
98 54876435 -0.261139 -0.332492
99 55571106 -0.308764 -0.39313
100 56228913 -0.264817 -0.337175
101 56925655 -0.247024 -0.31452
102 57598950 -0.174672 -0.222399
103 58232890 -0.145516 -0.185276
104 58883851 -0.078784 -0.100311
105 59483317 -0.0183466 -0.0233595
106 60112306 -0.0254183 -0.0323634
107 60717026 0 0
108 61319159 0 0
109 61964079 -0.0265424 -0.0337948
110 62570077 -0.0338853 -0.043144
111 63185240 0 0
112 63838926 -0.0185164 -0.0235758
113 64485916 -0.0282943 -0.0360254
114 65124289 -0.0597578 -0.0760858
115 65711251 -0.230086 -0.292954
116 66312766 -0.6792 -0.864783
117 66891277 -0.606481 -0.772194
118 67460057 -0.633516 -0.806615
119 68061318 -0.665103 -0.846833
120 68633090 -0.785398 -0.999998
121 69175558 -0.785398 -0.999998
122 69721308 -0.713061 -0.907895
123 70309539 -0.653169 -0.831639
124 70862160 -0.507837 -0.646596
125 71455661 -0.37753 -0.480685
126 71922731 2.88033e-05 3.66734e-05
127 72406098 -0.0746275 -0.0950185
128 72900278 0.111603 0.142097
129 73434780 0.138243 0.176016
130 73881932 0.179095 0.22803
131 74395543 0.190639 0.242728
132 74901785 0.202322 0.257603
133 75418011 0.194106 0.247143
134 75846317 0.156602 0.199391
135 76325211 0.159647 0.203268
136 76702718 0.160988 0.204976
137 77110247 0.151375 0.192737
138 77476954 0.120109 0.152927
139 77890613 0.155262 0.197685
140 78374322 0.112566 0.143323
141 78886573 0.144289 0.183715
142 79342030 0.0945449 0.120378
143 79837567 0.111603 0.142097
144 80323992 0.0694533 0.0884305
145 80760152 0.0694533 0.0884305
146 81232308 0.0509762 0.0649048
147 81706361 0.0794782 0.101195
148 82188438 0.0470241 0.0598728
149 82690928 0.0535203 0.068144
150 83172535 0 0
151 83654388 0.0176973 0.0225328
152 84117595 0.0713075 0.0907913
153 84627272 0.0438316 0.0558079
154 85099226 0.00884933 0.0112673
155 85609208 0.0442189 0.0563012
156 86076890 0.0347686 0.0442686
157 86572653 0 0
158 87084638 0.0360205 0.0458626
159 87592419 0.0176973 0.0225328
160 88150316 -0.304803 -0.388086
161 88640942 0.104877 0.133533
162 89157971 0.30092 0.383143
163 89675449 0.290672 0.370095
164 90216274 0.332059 0.42279
165 90759668 0.316569 0.403068
166 91284017 0.321751 0.409665
167 91829462 0.339743 0.432574
168 92307754 0.350167 0.445845
169 92810981 0.308764 0.39313
170 93264113 0.340218 0.433178
171 93764722 0.354986 0.451982
172 94277377 0.350167 0.445845
173 94810963 0.345245 0.439578
174 95365182 0.364735 0.464394
175 95929756 0.179095 0.22803
176 96550988 0.242967 0.309354
177 97149152 0.182168 0.231943
178 97709992 0.170735 0.217386
179 98282386 0.138243 0.176016
180 98833941 0.116586 0.148442
181 99384379 0.078784 0.100311
182 99965295 0.0442189 0.0563012
183 100528338 0.078784 0.100311
184 101081796 0.0263097 0.0334985
185 101636052 0.0713075 0.0907913
186 102209090 0.0597578 0.0760858
187 102776422 0.0356991 0.0454534
188 103330685 0.0373658 0.0475755
189 103867519 0.0427091 0.0543787
190 104441166 0.0185164 0.0235758
191 105005121 0.0512372 0.065237
192 105574539 0.0344691 0.0438873
193 106128186 0.073939 0.0941419
194 106717330 0.0521266 0.0663696
195 107272335 0.0336008 0.0427818
196 107836152 0.0694533 0.0884305
197 108382517 0.0700606 0.0892037
198 108944552 0.0353835 0.0450515
199 109515584 0.0521266 0.0663696
200 110076989 0.0256354 0.0326399
201 110667100 0.0746275 0.0950185
202 111235627 0.0592526 0.0754426
203 111853104 0.0530475 0.0675421
204 112449346 0.0430768 0.0548469
205 113024175 0.0434509 0.0553233
206 113579423 0.0353835 0.0450515
207 114146296 0.0719477 0.0916064
208 114711988 0.0172397 0.0219502
209 115258964 0.00952352 0.0121257
210 115828408 0.0344691 0.0438873
211 116383850 0.065942 0.0839598
212 116922195 0.0458394 0.0583644
213 117494164 0.0475831 0.0605845
214 118085173 0.0360205 0.0458626
215 118661985 0.0442189 0.0563012
216 119224979 0.065942 0.0839598
217 119787380 0.0325971 0.0415039
218 120356760 0.02803 0.0356889
219 120936318 0.0525831 0.0669507
220 121516285 0.0629797 0.080188
221 122083717 0.0549904 0.0700158
222 122707952 0.0530475 0.0675421
223 123220390 0.0597578 0.0760858
224 123768060 0.138243 0.176016
225 124318579 -0.54172 -0.689738
226 124843442 -0.803578 -1.02314
227 125415530 -0.927295 -1.18067
228 125988858 -0.873664 -1.11238
229 126607015 -0.780993 -0.994389
230 127230283 -0.635027 -0.808539
